State,City,Accident_Count
FL,Miami,18508
TX,Houston,16911
CA,Los Angeles,15628
NC,Charlotte,14000
TX,Dallas,13083
FL,Orlando,10987
TX,Austin,9636
NC,Raleigh,8620
TN,Nashville,7398
LA,Baton Rouge,7175
GA,Atlanta,6719
CA,Sacramento,6594
CA,San Diego,5559
AZ,Phoenix,5398
MN,Minneapolis,5225
OK,Oklahoma City,4528
FL,Jacksonville,4178
VA,Richmond,4175
AZ,Tucson,3920
TX,San Antonio,3762
MN,Saint Paul,3717
WA,Seattle,3615
SC,Greenville,3563
SC,Columbia,3547
OR,Portland,3490
CA,San Jose,3451
IN,Indianapolis,3407
IL,Chicago,3171
FL,Tampa,3058
CO,Denver,3018
OK,Tulsa,2893
LA,New Orleans,2787
NY,Bronx,2735
CA,Riverside,2639
FL,Fort Lauderdale,2613
MI,Detroit,2446
MI,Grand Rapids,2442
MO,Kansas City,2407
NY,Rochester,2387
CA,Oakland,2343
OH,Dayton,2282
NY,New York,2179
NE,Omaha,2171
CA,Bakersfield,2145
NY,Brooklyn,2132
CA,Anaheim,2108
MI,Flint,2107
CA,Long Beach,2101
CA,San Bernardino,2097
FL,Hialeah,2093
